Finger 0 Metacarpal Bone X,Finger 0 Metacarpal Bone Y,Finger 0 Metacarpal Bone Z,Finger 0 Proximal Bone X,Finger 0 Proximal Bone Y,Finger 0 Proximal Bone Z,Finger 0 Intermediate Bone X,Finger 0 Intermediate Bone Y,Finger 0 Intermediate Bone Z,Finger 0 Distal Bone X,Finger 0 Distal Bone Y,Finger 0 Distal Bone Z,Finger 1 Metacarpal Bone X,Finger 1 Metacarpal Bone Y,Finger 1 Metacarpal Bone Z,Finger 1 Proximal Bone X,Finger 1 Proximal Bone Y,Finger 1 Proximal Bone Z,Finger 1 Intermediate Bone X,Finger 1 Intermediate Bone Y,Finger 1 Intermediate Bone Z,Finger 1 Distal Bone X,Finger 1 Distal Bone Y,Finger 1 Distal Bone Z,Finger 2 Metacarpal Bone X,Finger 2 Metacarpal Bone Y,Finger 2 Metacarpal Bone Z,Finger 2 Proximal Bone X,Finger 2 Proximal Bone Y,Finger 2 Proximal Bone Z,Finger 2 Intermediate Bone X,Finger 2 Intermediate Bone Y,Finger 2 Intermediate Bone Z,Finger 2 Distal Bone X,Finger 2 Distal Bone Y,Finger 2 Distal Bone Z,Finger 3 Metacarpal Bone X,Finger 3 Metacarpal Bone Y,Finger 3 Metacarpal Bone Z,Finger 3 Proximal Bone X,Finger 3 Proximal Bone Y,Finger 3 Proximal Bone Z,Finger 3 Intermediate Bone X,Finger 3 Intermediate Bone Y,Finger 3 Intermediate Bone Z,Finger 3 Distal Bone X,Finger 3 Distal Bone Y,Finger 3 Distal Bone Z,Finger 4 Metacarpal Bone X,Finger 4 Metacarpal Bone Y,Finger 4 Metacarpal Bone Z,Finger 4 Proximal Bone X,Finger 4 Proximal Bone Y,Finger 4 Proximal Bone Z,Finger 4 Intermediate Bone X,Finger 4 Intermediate Bone Y,Finger 4 Intermediate Bone Z,Finger 4 Distal Bone X,Finger 4 Distal Bone Y,Finger 4 Distal Bone Z,Hand sign
-13.691077,-17.157303,46.662399,-17.103527,-15.917221,26.053238,-14.812837,-18.904129,-6.898695,-3.441467,-26.913010,-22.406794,-12.837270,7.521423,14.826256,-21.810356,23.124496,-31.478430,-22.302471,34.003708,-56.954926,-22.560848,40.254532,-70.849808,1.681833,5.433502,10.985605,-2.184443,19.405502,-37.244724,-2.062101,29.551590,-67.122925,-2.888387,34.179153,-84.032448,15.154035,-0.960800,9.783537,14.724174,9.355469,-35.020367,12.922845,16.457184,-63.808334,10.333065,18.804123,-80.543747,27.437267,-11.217056,10.614849,29.889294,-4.590256,-28.346254,22.795902,-6.922150,-45.856834,14.823879,-13.917191,-44.939209,1.000000
-14.389774,-16.396469,46.698761,-17.551720,-15.589020,26.026373,-14.809374,-19.173401,-6.839644,-3.168517,-27.333557,-22.096445,-13.186613,7.659332,14.578825,-21.122931,22.268341,-32.065063,-20.713427,32.407547,-57.603813,-20.476839,38.234222,-71.494125,1.502143,5.629379,10.946617,-1.342428,18.685211,-37.516556,-0.309653,28.232544,-67.448990,-0.628517,32.582199,-84.353874,15.016781,-0.740082,10.093510,15.354635,8.800293,-34.809181,13.945335,15.316452,-63.609100,11.305450,17.214661,-80.291832,27.384853,-10.918427,11.232090,30.280172,-4.938293,-27.773806,23.152908,-7.452545,-45.251221,14.863031,-14.335632,-44.380524,1.000000
-14.862345,-16.692596,46.412457,-18.116411,-15.451889,25.766979,-15.667662,-18.592087,-7.186577,-4.369351,-26.866837,-22.680622,-13.140795,7.720505,14.601420,-20.709082,22.840118,-32.010792,-20.003218,33.177750,-57.581676,-19.515833,39.198349,-71.481552,1.489038,5.417740,11.051768,-1.077039,18.915512,-37.290997,0.107260,28.679123,-67.100662,-0.023313,33.345749,-83.900330,14.902624,-1.158127,10.089392,15.340586,8.699615,-34.796848,13.792309,15.508652,-63.637424,11.267517,18.139816,-80.365952,27.289244,-11.263748,11.238261,29.946733,-5.860794,-27.755657,22.129166,-9.384445,-44.365452,13.808651,-16.099060,-42.223259,1.000000
-15.298759,-16.403503,46.319160,-18.288015,-15.720047,25.608027,-15.364870,-19.466995,-7.294036,-3.746113,-27.673386,-22.616568,-13.843378,7.439392,14.542309,-20.708906,20.872482,-32.369923,-19.571251,29.481201,-57.939030,-18.996851,34.432816,-71.797127,1.245081,5.666580,10.908936,-0.558487,18.101578,-37.802067,1.420937,27.174149,-67.901932,2.088792,31.805527,-84.790970,14.837936,-0.571289,10.358828,16.010654,8.581619,-34.678772,14.907925,14.675156,-63.696064,12.563524,16.773163,-80.542389,27.471588,-10.364029,11.909595,30.647261,-5.338379,-27.089582,23.137918,-9.048126,-43.936115,14.545483,-16.022461,-42.376678,1.000000
-15.992736,-16.429672,46.105492,-18.930769,-15.308517,25.398026,-16.052746,-18.682693,-7.537028,-4.665153,-27.119766,-22.953722,-13.635821,7.706238,14.447464,-20.099934,21.860825,-32.462765,-18.822632,30.989243,-58.090096,-18.105999,36.273514,-71.998512,1.264985,5.508041,10.981771,-0.128187,18.402847,-37.653114,1.955425,27.690018,-67.704544,2.626223,32.414322,-84.582191,14.701959,-1.057312,10.322533,16.054043,8.492935,-34.744362,15.129101,15.249832,-63.893822,13.028790,17.948212,-80.848167,27.154526,-11.037704,11.976643,30.350353,-6.377823,-26.973852,22.469292,-10.489899,-43.507675,13.840335,-17.166580,-41.403244,1.000000
-16.232220,-15.706665,46.124886,-18.856022,-15.775131,25.336290,-15.464668,-20.600632,-7.498883,-3.766099,-29.176010,-22.709682,-14.607518,7.408981,14.257806,-20.420059,18.726547,-33.136818,-18.706640,25.461288,-58.826538,-17.939083,29.342056,-72.728516,0.903838,5.950653,10.656739,0.302767,17.046036,-38.526077,3.647414,25.725754,-68.887543,5.374103,30.352036,-85.888687,14.635436,0.003830,10.830309,16.904697,7.976822,-34.314362,16.584827,13.094254,-63.375328,14.489339,14.347824,-80.198502,27.463326,-9.369812,12.806976,31.128033,-5.474014,-26.255650,23.671432,-10.381393,-42.362671,15.010373,-18.095795,-40.242119,1.000000
-17.579672,-13.867630,46.386677,-19.915726,-13.715546,25.566452,-16.280888,-18.723267,-7.153899,-4.855117,-28.031250,-22.204876,-14.121229,8.604156,13.981026,-18.840343,19.842682,-33.529560,-16.546755,26.425385,-59.152664,-15.457848,30.172470,-73.003723,1.238095,6.063782,10.591604,1.702937,16.489990,-38.679626,5.776617,24.567627,-69.011147,8.046547,29.068542,-85.912170,14.530031,-0.831818,11.010315,17.344471,6.498840,-34.096561,17.046139,11.537415,-62.991127,14.490908,12.598969,-79.592552,26.675039,-11.019989,13.135645,30.857954,-7.954773,-25.949810,23.191633,-12.626282,-41.939911,14.122629,-19.743805,-39.571571,1.000000
-18.292088,-13.179321,46.095047,-20.171825,-13.968231,25.249292,-15.987638,-20.039352,-7.381828,-4.410284,-29.375107,-22.318604,-15.199890,8.476089,13.643240,-18.923992,17.021606,-34.144474,-16.478920,20.853821,-59.575478,-15.717579,22.636581,-73.324234,0.754415,6.337967,10.416008,2.380410,14.855179,-39.098660,7.203207,21.499191,-69.483368,9.887241,25.196793,-86.393387,14.306269,0.055573,11.551229,18.439631,6.154449,-33.486031,19.118528,10.230606,-62.229347,17.134283,10.591309,-78.753494,26.888872,-9.471695,14.254084,31.945211,-7.393204,-24.772385,24.790495,-12.972397,-40.411560,15.880022,-20.663986,-37.842018,1.000000
-19.124252,-12.241241,46.129250,-20.977913,-12.825516,25.265373,-16.855045,-19.116684,-7.248293,-5.564609,-29.198730,-21.988811,-14.393368,9.289597,13.729437,-17.957283,19.153000,-33.875385,-15.720568,22.921127,-59.243351,-15.096258,23.543121,-73.098091,1.241373,6.229141,10.546582,3.106752,15.075424,-38.813583,8.034369,21.726730,-68.989616,10.770155,25.419327,-85.742653,14.341658,-0.968994,11.522901,18.706787,5.125275,-33.441689,19.055002,8.703873,-62.047401,16.300550,8.325623,-78.368340,26.092806,-11.420792,13.968942,31.437193,-9.200089,-25.103468,24.382792,-14.132828,-41.011932,14.927927,-21.755493,-39.203712,1.000000
-19.352985,-12.909225,45.884007,-21.044315,-13.965347,25.010195,-16.603094,-20.774414,-7.436656,-5.122070,-30.790237,-22.231913,-14.871054,8.685074,13.161263,-17.752869,18.121719,-34.762283,-14.275326,22.519623,-60.473312,-12.683821,23.834946,-74.572281,0.722256,6.337906,10.767924,2.962706,14.227066,-38.480968,7.079068,18.887924,-68.596710,8.351830,20.564789,-85.466843,14.191297,-0.143387,11.795805,18.960072,5.192703,-33.192764,19.130234,6.663101,-61.690746,15.640595,3.612534,-77.383186,26.179424,-10.082535,14.369750,32.699619,-7.645279,-24.639391,27.024815,-12.556793,-41.507580,17.666050,-20.669266,-41.534565,1.000000
